# ORB-slam3's format: time[ns], wx(rad/s), wy, wz, ax(m/s2), ay, az
4777334333,-0.000177,-0.000228,-0.000217,-0.363116,-0.041587,10.707000
4787334333,0.000023,-0.000201,0.000043,-0.362413,-0.094073,10.526018
4797334333,0.000171,-0.000162,0.000274,-0.354799,-0.083976,10.414707
4807334333,0.000361,-0.000099,0.000473,-0.373716,-0.135413,10.324796
4817334333,0.000466,-0.000044,0.000702,-0.375683,-0.125468,10.166443
4827334333,0.000589,0.000009,0.000882,-0.347375,-0.127436,10.029655
4837334333,0.000700,0.000038,0.000993,-0.363050,-0.084306,9.956858
4847334333,0.000790,0.000197,0.001183,-0.362130,-0.115180,9.799027
4857334333,0.000880,0.000233,0.001303,-0.366595,-0.081491,9.714637
4867334333,0.000949,0.000378,0.001339,-0.409103,-0.067945,9.552099
4877334333,0.001022,0.000491,0.001397,-0.397910,-0.025367,9.518458
4887334333,0.001023,0.000559,0.001580,-0.377621,-0.057089,9.519543
4897334333,0.001045,0.000695,0.001594,-0.419636,-0.038709,9.577679
4907334333,0.001032,0.000653,0.001639,-0.420385,-0.059517,9.530654
4917334333,0.000922,0.000660,0.001611,-0.418355,-0.053414,9.525500
4927334333,0.000852,0.000662,0.001661,-0.402619,-0.024521,9.511163
4937334333,0.000750,0.000646,0.001654,-0.415361,-0.024683,9.537566
4947334333,0.000542,0.000619,0.001617,-0.351591,-0.020344,9.554957
4957334333,0.000370,0.000544,0.001598,-0.420119,-0.045696,9.462991
4967334333,0.000207,0.000485,0.001530,-0.413927,-0.005818,9.496822
4977334333,-0.000039,0.000284,0.001498,-0.422026,-0.000690,9.478086
4987334333,-0.000251,0.000255,0.001364,-0.421174,-0.027133,9.538284
4997334333,-0.000401,0.000085,0.001298,-0.431317,0.023758,9.632357
5007334333,-0.000551,0.000043,0.001119,-0.405123,-0.050117,9.696604
5017334333,-0.000699,-0.000012,0.001078,-0.431422,-0.056511,9.796035
5027334333,-0.000744,-0.000098,0.000842,-0.464102,-0.050890,9.861885
5037334333,-0.000714,-0.000156,0.000629,-0.458366,-0.086783,9.883428
5047334333,-0.000631,-0.000229,0.000397,-0.445988,-0.032639,10.012583
5057334333,-0.000544,-0.000236,0.000194,-0.482743,-0.065145,10.042931
5067334333,-0.000460,-0.000217,-0.000047,-0.471246,-0.064789,10.142781
5077334333,-0.000287,-0.000223,-0.000403,-0.471876,-0.038111,10.195855
5087334333,-0.000026,-0.000241,-0.000661,-0.485068,-0.054505,10.201502
5097334333,0.000101,-0.000254,-0.000949,-0.448755,-0.020285,10.122881
5107334333,0.000295,-0.000186,-0.001196,-0.491822,-0.015630,10.096859
5117334333,0.000481,-0.000187,-0.001351,-0.441627,0.008185,10.061289
5127334333,0.000563,-0.000211,-0.001494,-0.465461,-0.004351,10.050803
5137334333,0.000629,-0.000155,-0.001572,-0.445231,0.042846,9.999336
5147334333,0.000717,-0.000103,-0.001608,-0.461881,0.064364,9.969214
5157334333,0.000690,-0.000145,-0.001564,-0.465025,0.032900,9.893807
5167334333,0.000791,-0.000172,-0.001537,-0.472842,0.050470,9.851404
5177334333,0.000721,-0.000185,-0.001435,-0.463956,0.020496,9.837921
5187334333,0.000707,-0.000134,-0.001374,-0.449961,0.046780,9.772730
5197334333,0.000602,-0.000150,-0.001232,-0.462249,0.007845,9.747284
5207334333,0.000523,-0.000194,-0.001019,-0.441634,0.028710,9.684641
5217334333,0.000472,-0.000152,-0.000930,-0.449426,0.032102,9.658636
5227334333,0.000420,-0.000195,-0.000697,-0.470548,0.018646,9.630915
5237334333,0.000289,-0.000188,-0.000597,-0.457703,-0.006522,9.631611
5247334333,0.000229,-0.000224,-0.000418,-0.422576,0.019300,9.558531
5257334333,0.000042,-0.000227,-0.000315,-0.464158,0.010108,9.541379
5267334333,-0.000011,-0.000199,-0.000154,-0.452006,0.012769,9.523597
5277334333,-0.000259,-0.000223,0.000055,-0.448882,-0.002531,9.460415
5287334333,-0.000393,-0.000262,0.000226,-0.474097,0.028955,9.439316
5297334333,-0.000541,-0.000280,0.000407,-0.438100,-0.016746,9.486677
5307334333,-0.000626,-0.000256,0.000494,-0.463144,-0.017805,9.549624
5317334333,-0.000745,-0.000217,0.000598,-0.481736,-0.034079,9.620918
5327334333,-0.000740,-0.000135,0.000666,-0.449475,-0.042079,9.701612
5337334333,-0.000654,-0.000130,0.000655,-0.465359,-0.055830,9.711835
5347334333,-0.000563,-0.000054,0.000616,-0.464192,-0.081391,9.809158
5357334333,-0.000376,0.000081,0.000564,-0.498745,-0.041427,9.895749
5367334333,-0.000172,0.000104,0.000495,-0.485429,-0.105732,9.922916
5377334333,0.000085,0.000253,0.000281,-0.530775,-0.020008,9.970145
5387334333,0.000346,0.000405,0.000193,-0.527590,-0.082737,10.078815
5397334333,0.000609,0.000551,-0.000024,-0.523792,-0.011661,10.095985
5407334333,0.000952,0.000626,-0.000144,-0.513323,0.021034,10.022050
5417334333,0.001237,0.000727,-0.000281,-0.522289,0.026344,9.959969
5427334333,0.001444,0.000852,-0.000393,-0.555053,0.031077,9.916815
5437334333,0.001584,0.000874,-0.000438,-0.473409,0.050492,9.870621
5447334333,0.001750,0.000988,-0.000468,-0.478233,0.092578,9.809393
5457334333,0.001865,0.001077,-0.000400,-0.524102,0.093577,9.726504
5467334333,0.001888,0.001061,-0.000266,-0.548629,0.108553,9.665203
5477334333,0.001889,0.001054,-0.000268,-0.572467,0.119474,9.631527
5487334333,0.001817,0.001057,-0.000072,-0.586494,0.087412,9.555635
5497334333,0.001749,0.000991,0.000109,-0.535205,0.104191,9.529093
5507334333,0.001618,0.000975,0.000286,-0.556547,0.103429,9.592568
5517334333,0.001549,0.000874,0.000389,-0.562384,0.075233,9.666623
5527334333,0.001417,0.000794,0.000452,-0.589132,0.051473,9.738329
5537334333,0.001155,0.000720,0.000530,-0.584955,0.045962,9.824733
5547334333,0.000987,0.000551,0.000567,-0.577219,0.092959,9.875302
5557334333,0.000687,0.000395,0.000524,-0.594444,0.054942,9.945209
